Date,^N225,9983.T
2016-03-30,16878.9609375,34949.5390625
2016-03-31,16758.669921875,34489.9296875
2016-04-01,16164.16015625,32622.76171875
2016-04-04,16123.26953125,31990.794921875
2016-04-05,15732.8203125,30659.83984375
2016-04-06,15715.3603515625,30295.984375
2016-04-07,15749.83984375,29194.83203125
2016-04-08,15821.51953125,25479.6484375
2016-04-11,15751.1298828125,25675.94140625
2016-04-12,15928.7900390625,25771.697265625
2016-04-13,16381.2197265625,27476.080078125
2016-04-14,16911.05078125,28534.14453125
2016-04-15,16848.029296875,28356.998046875
2016-04-18,16275.9501953125,26882.419921875
2016-04-19,16874.439453125,28601.171875
2016-04-20,16906.5390625,28175.07421875
2016-04-21,17363.619140625,29577.83984375
2016-04-22,17572.490234375,30592.814453125
2016-04-25,17439.30078125,29817.22265625
2016-04-26,17353.279296875,29242.7109375
2016-04-27,17290.490234375,29664.01953125
2016-04-28,16666.05078125,27945.265625
2016-05-02,16147.3798828125,26757.94140625
2016-05-06,16106.7197265625,26829.7578125
2016-05-09,16216.0302734375,27394.693359375
2016-05-10,16565.189453125,27667.587890625
2016-05-11,16579.009765625,27528.744140625
2016-05-12,16646.33984375,27787.2734375
2016-05-13,16412.2109375,27289.3671875
2016-05-16,16466.400390625,26954.232421875
2016-05-17,16652.80078125,27442.568359375
2016-05-18,16644.689453125,27370.751953125
2016-05-19,16646.66015625,27265.427734375
2016-05-20,16736.349609375,27552.685546875
2016-05-23,16654.599609375,26777.091796875
2016-05-24,16498.759765625,26489.833984375
2016-05-25,16757.349609375,27519.16796875
2016-05-26,16772.4609375,28151.138671875
2016-05-27,16834.83984375,27768.126953125
2016-05-30,17068.01953125,28136.7734375
2016-05-31,17234.98046875,28615.53515625
2016-06-01,16955.73046875,27734.61328125
2016-06-02,16562.55078125,26982.958984375
2016-06-03,16642.23046875,28840.548828125
2016-06-06,16580.029296875,28811.82421875
2016-06-07,16675.44921875,28720.859375
2016-06-08,16830.919921875,29156.537109375
2016-06-09,16668.41015625,28668.1953125
2016-06-10,16601.359375,28548.5078125
2016-06-13,16019.1796875,27820.7890625
2016-06-14,15859.0,27126.5859375
2016-06-15,15919.580078125,27054.771484375
2016-06-16,15434.1396484375,26102.037109375
2016-06-17,15599.66015625,26379.720703125
2016-06-20,15965.2998046875,27188.822265625
2016-06-21,16169.1103515625,27380.328125
2016-06-22,16065.7197265625,27030.8359375
2016-06-23,16238.349609375,28093.681640625
2016-06-24,14952.01953125,25178.03125
2016-06-27,15309.2099609375,26221.728515625
2016-06-28,15323.1396484375,26288.751953125
2016-06-29,15566.830078125,26422.810546875
2016-06-30,15575.919921875,26140.337890625
2016-07-01,15682.48046875,26197.7890625
2016-07-04,15775.7998046875,26528.13671875
2016-07-05,15669.330078125,25412.625
2016-07-06,15378.990234375,24799.80859375
2016-07-07,15276.240234375,24924.287109375
2016-07-08,15106.98046875,24364.138671875
2016-07-11,15708.8203125,24364.138671875
2016-07-12,16095.650390625,26619.099609375
2016-07-13,16231.4296875,26949.4453125
2016-07-14,16385.890625,26485.048828125
2016-07-15,16497.849609375,31272.658203125
2016-07-19,16723.310546875,32268.478515625
2016-07-20,16681.890625,31521.611328125
2016-07-21,16810.220703125,32287.630859375
2016-07-22,16627.25,31253.505859375
2016-07-25,16620.2890625,31760.986328125
2016-07-26,16383.0400390625,31148.177734375
2016-07-27,16664.8203125,32201.44921875
2016-07-28,16476.83984375,31512.033203125
2016-07-29,16569.26953125,32009.94921875
2016-08-01,16635.76953125,33197.2734375
2016-08-02,16391.44921875,32211.0234375
2016-08-03,16083.1103515625,33072.796875
2016-08-04,16254.8896484375,33992.01953125
2016-08-05,16254.4501953125,35083.58984375
2016-08-08,16650.5703125,36270.91796875
2016-08-09,16764.970703125,35907.05859375
2016-08-10,16735.119140625,35428.30078125
2016-08-12,16919.919921875,36462.42578125
2016-08-15,16869.560546875,36031.53515625
2016-08-16,16596.509765625,34949.5390625
2016-08-17,16745.640625,35399.58203125
2016-08-18,16486.009765625,35006.9921875
2016-08-19,16545.8203125,35571.92578125
2016-08-22,16598.189453125,35409.15234375
2016-08-23,16497.359375,35026.13671875
2016-08-24,16597.30078125,34087.7734375
2016-08-25,16555.94921875,33953.71875
2016-08-26,16360.7099609375,33867.54296875
2016-08-29,16737.490234375,35065.2421875
